Key,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code
100,34.7,54497,46695,1351,804,11501,12153,43538,22445,93308
101,21.9,35642,26444,2615,3145,5807,9533,43128,17346,93405
102,28.3,1988,1817,40,6,366,200,66250,25360,93426
103,48,3170,3042,6,0,154,314,50625,27502,93453
104,36.2,5134,3028,843,15,2192,1842,34261,17225,93501
105,41.7,1803,1227,0,57,279,206,54135,26133,93513
106,46.8,13976,11719,131,162,2862,1260,51456,29986,93514
107,48.1,2681,2442,36,54,504,412,58438,28711,93532
108,33.4,38994,24228,8863,1688,14540,10681,36034,17533,93534
109,29.6,73948,47999,15954,2047,34168,21859,42266,15592,93535
110,31.5,13780,6648,1164,199,8451,3104,44985,18696,93543
111,54.3,1021,797,17,0,148,10,46200,28666,93544
112,36.2,2005,1725,21,7,654,263,36736,22348,93545
113,33,9252,8085,59,138,3117,747,62670,32473,93546
114,29.2,41128,16156,5053,1575,28628,6079,56971,16648,93552
115,52.7,1882,1392,61,0,501,195,54741,35064,93553
116,38.4,1620,1425,92,7,203,423,38438,23262,93562
117,34.1,6508,2904,733,53,3714,2080,41080,13778,93591
118,47,4151,3643,22,20,622,530,54375,26923,93602
119,51.4,11255,10436,70,98,752,1806,55490,27975,93614
120,28.5,30465,24706,180,539,25437,8112,38576,14696,93618
121,29.2,1326,687,19,25,1143,551,33833,10041,93624
122,30.4,39969,29356,768,1302,27386,8940,45714,17558,93635
123,25.9,16228,10861,0,182,15525,6866,31008,10828,93648
124,53.4,1352,1146,3,14,118,90,57083,36378,93653
125,32.6,31460,20814,280,1145,21552,7619,46354,17771,93654
126,42,2626,2135,0,29,303,324,56875,24850,93667
127,30.4,81832,45830,8018,11844,37353,18095,53571,20281,93722
128,27.9,42950,23584,4553,5511,21111,14486,32018,15037,93726
129,39,1082,999,2,41,436,145,59219,32153,93920
130,50.3,3407,2918,1,265,357,188,81875,49366,93921
131,53.2,6457,5926,38,139,1041,573,94866,52865,93924
132,25.8,18609,14722,122,108,16359,4809,47733,14368,93927
133,36.4,26831,17807,2452,585,18834,2821,54022,12827,93960
134,38,48387,10594,1502,25327,15689,4246,75658,27786,94014
135,37,1697,1530,32,12,640,423,43611,21964,94060
136,36.7,73511,42324,2680,10309,26219,8792,97563,54412,94110
