,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
326,42.5,50246,44579,367,2848,6956,3832,101096,52793,92024,7100,,4.111971831
327,31.7,53742,44067,1385,2274,28894,11410,50774,22497,92025,7865,,4.344437381
328,38.6,49327,38794,1010,4292,17647,7653,59539,27738,92026,10227,,4.240246407
329,33.3,56899,43330,1339,3999,29042,7862,56250,22388,92027,6114,,4.456902192
330,39.6,48468,38975,1090,1343,17145,7567,60196,29984,92028,3290,,4.239361702
331,44.2,18758,15622,415,1115,3966,1497,86250,40799,92029,11707,,4.215896472
332,54.3,2700,2485,6,27,316,432,45156,23575,92036,5609,,4.096452131
333,43.3,38659,32138,485,4049,3351,3961,102297,72795,92037,13943,,4.24126802
334,37.6,43191,37280,901,1013,7495,4569,66960,29045,92040,2788,,4.352223816
335,34,42523,31912,1669,1611,14897,5545,53519,29201,92054,10839,,4.45433158
336,40.2,53920,41367,2199,3691,16686,6345,63109,30249,92056,8845,,4.404183154
337,36.8,57125,38365,3592,5357,20724,7687,63473,28146,92057,9883,,4.451937671
338,29.2,1177,255,25,55,494,256,66288,34941,92059,2474,,3.965036378
339,29.9,2046,599,3,35,615,418,52500,30860,92061,1740,,4.08362069
340,40.4,49763,38599,811,5858,8988,2908,98942,41407,92064,3336,,4.269034772
341,40.9,37633,32105,603,702,9117,2930,79169,32076,92065,2627,,4.210125619
342,35,530,374,12,0,68,138,51023,18079,92066,3294,,4.209016393
343,50.3,9127,8639,136,111,801,966,133355,67233,92067,8222,,4.148139139
344,33.5,48682,33761,1495,4534,22024,7567,59770,22981,92069,11320,,4.150618375
345,43.7,1034,634,0,71,117,187,43447,22364,92070,5031,,4.225104353
346,37.8,56682,46452,1217,2644,10345,3810,77712,31650,92071,4485,,4.280044593
347,45.8,12548,10646,47,363,1668,819,99688,61976,92075,8786,,4.095208286
348,37.3,48009,35864,1485,3670,11908,6618,65686,33006,92078,10779,,4.211244086
349,34.8,28976,22857,692,2880,7066,4038,60682,28615,92081,7028,,4.359988617
350,41.6,18722,15551,123,400,4449,2614,76530,30328,92082,1832,,3.883733624
351,32.3,37367,30102,1341,1369,21384,6314,52123,20245,92083,8688,,4.292472376
352,35.4,50915,42127,1444,1414,24834,8527,56501,25362,92084,8616,,4.176590065
353,60.7,1672,1343,30,58,269,273,37083,26408,92086,3883,,4.258305434
354,53.6,1473,1335,0,138,74,19,145705,77753,92091,4893,,4.166666667
355,37.9,36857,28139,3092,3054,7390,7574,57209,53630,92101,28255,,4.125818439
356,30.9,44778,31554,4472,2670,27187,13080,42464,20503,92102,16916,,4.270099314
357,39.3,33873,27823,1437,2210,5790,3213,72200,53613,92103,28732,,4.130690519
358,34.6,45788,34549,3301,2841,15812,6958,52029,35185,92104,19638,,4.23518179
359,29.6,72724,37967,10664,13094,39471,20186,37908,15962,92105,12010,,4.372231474
360,37.3,18864,15732,693,1129,2917,1211,83288,50098,92106,28940,,4.294747754
361,35.7,29292,26131,455,889,4275,2816,73088,43288,92107,19581,,4.123793473
362,31.8,20899,14586,1786,2129,4344,3173,65586,40685,92108,20882,,4.165429557
363,30.9,48430,44145,431,1393,6680,7153,71098,44739,92109,13612,,4.378746694
364,32.8,28508,23348,983,2051,5749,3664,61310,32007,92110,33720,,4.251586595
365,36.3,48380,29968,2374,10289,13352,6841,60134,28565,92111,18031,,4.181631634
366,26.1,57887,23318,6448,2590,42761,19071,31001,13457,92113,13196,,4.31604274
367,34.4,69688,18460,13592,17375,29822,11306,58036,20083,92114,8258,,4.409723904
368,27.9,64410,39649,9230,8810,20009,16512,46994,22882,92115,6201,,4.416061925
369,35.1,32920,25439,2357,1875,8458,4057,60362,40609,92116,16865,,4.259205455
370,39.4,54489,41872,1018,5779,13009,6006,66297,33866,92117,16810,,4.232034503
371,40.3,23473,21065,765,608,3509,1219,92413,53373,92118,15522,,4.070255122
372,44.2,23456,19702,658,1337,4133,1665,74507,37844,92119,6616,,4.362605804
373,40.1,28518,23131,1365,2354,5427,2561,85275,43486,92120,8172,,4.302618698
374,29.9,4588,2421,52,1682,678,914,101906,47589,92121,9359,,4.307618335
375,30.3,47314,27261,1299,15709,5052,10831,73756,40358,92122,8529,,4.213624106
376,33.2,30202,18785,2610,4611,6347,2912,72245,34198,92123,17362,,4.178867642
377,31.3,31061,21436,2063,4017,4916,2218,82037,37133,92124,6237,,4.179172679
378,33.9,80685,30048,3647,37715,10993,5982,90006,32843,92126,9143,,4.137044734
379,37,43588,26188,442,13838,4703,1861,117150,52294,92127,5932,,4.039699933
380,43.3,49522,33631,1093,11414,4795,2363,96026,45714,92128,7187,,4.107416168
381,38.1,55780,32325,2007,16698,6527,3040,115260,42487,92129,3876,,4.147058824
382,38.3,51757,32838,1141,14550,4107,2897,136855,63980,92130,6430,,4.143312597
383,39,34425,22812,683,8708,3464,1320,120584,50721,92131,7137,,4.283032086
384,34.2,36720,16584,4171,10853,15145,4977,57442,20600,92139,7564,,4.255750925
385,35.9,2096,1277,77,619,330,34,202563,69866,92145,10198,,4.17253383
386,33.5,88016,61281,4544,11266,59201,11993,61618,19129,92154,2757,,4.483496554
387,29.8,32416,27423,232,482,30659,8882,37166,12757,92173,2522,,4.505154639
388,34,64436,29658,2144,1416,48337,14292,42453,18717,92201,4526,,4.455700398
389,39.1,29768,20216,659,776,13280,3238,65947,32872,92203,4197,,4.599356683
390,68.7,4987,4483,63,291,145,239,96201,93305,92210,6505,,4.373712529
391,64.3,24623,21499,429,837,3055,2096,58274,45711,92211,7128,,4.382225028
392,40.1,33101,23013,2646,1494,14090,7458,40907,20007,92220,3473,,4.136625396
393,35.8,49804,35438,2415,3717,19883,5899,65766,26327,92223,3159,,4.089585312
394,38.3,22242,13247,2635,436,12314,3837,39314,15094,92225,2094,,4.209407832
395,32,27120,21346,378,289,22048,7487,41611,17079,92227,827,,4.222490931
396,26.4,4088,2627,68,0,2402,1310,34018,10308,92230,2627,,3.57765512
397,32.6,40070,32445,67,369,38947,10421,34379,13342,92231,744,,4.277553763
398,32.2,7770,3212,1208,74,5884,1188,35208,7026,92233,826,,4.252421308
399,37.1,53253,40055,1504,2438,32213,11581,41743,20508,92234,6786,,4.433834365
400,28.7,44124,12883,346,54,42985,13186,36300,12833,92236,2673,,4.712121212
401,45.5,196,147,2,0,91,56,57768,19513,92239,3967,,4.497479203
402,33.2,35684,23101,2331,767,20288,11362,35393,15425,92240,1906,,4.008656873
403,50.9,9212,6905,290,68,4007,2228,32629,19567,92241,11040,,4.470380435
404,61.1,1332,1231,0,0,184,242,29911,23485,92242,882,,4.107142857
405,33.2,49425,29549,1234,1077,41104,11666,42476,18205,92243,1338,,3.996636771
406,24.7,7960,6280,0,117,7679,1095,52886,13837,92249,604,,4.280629139
407,34.9,8645,6374,92,111,5944,2467,36500,17541,92250,789,,4.294043093
408,31.6,22496,14885,1622,476,16386,1001,82901,21647,92251,1190,,4.256302521
409,41.6,8874,7279,53,260,2031,2371,35449,21860,92252,5401,,4.175800778
410,45.9,39435,30969,724,1260,13398,4006,72203,41646,92253,7548,,4.324258082
411,25.9,12491,4773,94,0,12098,4757,27492,8995,92254,3969,,4.463466868
412,49.7,3105,2788,10,8,553,499,35405,24984,92256,1151,,4.069070374
413,59.8,1770,1313,29,12,783,637,18299,14945,92257,1701,,4.182833627
414,50.7,197,197,0,0,7,72,31136,15993,92259,1157,,4.291270527
415,49.1,33834,27642,670,1449,10530,4811,51426,35724,92260,7984,,4.273359218
416,50.7,27561,22106,1845,1056,8364,5588,46162,34290,92262,17029,,4.194961536
417,58.4,19778,16829,297,1187,4081,3680,45166,41998,92264,12494,,4.258043861
418,70.3,97,97,0,0,0,0,25119,28656,92266,2452,,4.248572594
419,60.1,505,500,0,0,42,80,37875,33822,92268,3255,,4.342396313
420,65.8,17876,16307,224,618,1566,1797,66083,62760,92270,7059,,4.40345658
421,27.7,1661,1516,0,0,1475,737,25000,10279,92273,1199,,4.214345288
422,26.9,19326,9315,108,21,17491,7583,28960,11745,92274,3509,,4.625819322
423,36.5,2174,1277,58,0,1305,524,30750,13423,92275,684,,4.187865497
424,45.9,7803,6309,137,80,4681,1045,43308,19703,92276,7961,,4.454402713
425,26.8,24028,17659,2013,792,5219,5604,37613,19362,92277,5115,,4.374975562
426,22,4162,3326,378,215,859,17,65547,22786,92278,102,,3.294117647
427,28.4,2249,1585,62,0,1945,804,33380,13322,92281,679,,3.983063328
428,42.5,1233,889,142,72,446,424,35417,19255,92282,11615,,4.256995265
429,36.8,2287,900,15,33,801,704,29514,15810,92283,2488,,4.215032154
430,42.2,25850,20715,1346,520,4603,5393,40333,22111,92284,3291,,4.288969918
431,51.2,2556,2223,30,46,361,914,30963,17358,92285,9641,,4.241883622
432,27.1,32801,19972,6068,583,19971,12804,29715,10397,92301,2070,,4.525603865
433,52.5,519,457,1,0,76,67,38095,28287,92305,10913,,4.148813342
434,34.7,38583,30832,3048,949,12115,7425,55044,26969,92307,5306,,4.371183566
435,40,40285,32444,3015,1343,13785,8225,42389,20803,92308,5132,,4.25604053
436,26.5,742,614,0,29,477,165,37609,15439,92309,5194,,3.71890643
437,22,9337,5974,1637,713,2160,815,49279,17884,92310,208,,2.509615385
438,30,33962,23598,4147,865,15509,11391,42138,17985,92311,3620,,3.997790055
439,37.9,12432,9026,791,700,5875,1105,64305,28187,92313,2269,,4.210665491
440,43.3,11997,11229,72,196,2415,2247,50916,24811,92314,4775,,3.909842932
441,44.7,5282,4853,66,54,1191,951,47095,31627,92315,12119,,4.117295156
442,31.3,30231,15733,1178,309,24594,5146,50310,15830,92316,2117,,4.309636278
443,49.8,8364,7402,93,214,2167,1361,45928,26369,92320,1739,,4.328924669
444,42.9,1214,1093,0,0,380,189,70272,29411,92321,3974,,3.83064922
445,51.8,696,683,0,0,118,117,35500,21311,92322,949,,3.836670179
446,30,58854,38151,4411,2862,40771,11296,45325,17970,92324,3783,,4.36492202
447,47,8019,7316,129,123,1396,1180,50518,28809,92325,936,,3.825854701
448,55.1,544,525,0,0,64,159,35694,19116,92327,3091,,3.934001941
449,44.5,292,212,17,0,33,55,31250,27107,92328,885,,3.828248588
450,67.1,217,217,0,0,12,6,27222,44024,92333,11905,,4.105543889
451,28.8,99079,39581,5101,1878,81815,22383,43444,14355,92335,3659,,4.246925389
452,31.3,92306,48994,10820,8993,51888,8875,85027,24676,92336,5753,,4.334434208
453,30.4,39074,16357,4124,2550,27387,3803,72655,21236,92337,4429,,4.385752992
454,43.3,1171,1096,0,18,136,57,62950,31733,92339,8013,,4.219580681
455,38.8,7058,5985,459,213,1614,1025,70329,26143,92342,1840,,4.437771739
456,32.8,22259,17450,1903,771,9727,2472,72369,23657,92344,1953,,4.077060932
457,31.4,81094,65818,3606,1150,44510,21242,43700,16812,92345,3673,,4.215627552
458,35,60320,37231,6553,5239,25761,10028,60265,24206,92346,3031,,4.25321676
459,27.2,1372,806,407,0,630,198,49000,16527,92347,3615,,4.021438451
460,42.3,6601,5970,63,156,864,700,68229,34932,92352,5150,,3.973300971
461,36,20963,10714,2135,6391,5347,3332,57610,30904,92354,3335,,4.198650675
462,46.2,5995,5233,140,64,1311,1711,31821,17493,92356,7423,,4.284588441
463,52.1,1069,962,0,5,371,134,49861,27490,92358,3189,,4.256663531
464,36.1,8710,6679,315,398,2613,807,54437,22880,92359,4131,,4.31650932
465,41.6,5356,4086,92,86,1206,1350,33520,18018,92363,817,,4.239290086
466,45.4,2601,2091,233,152,406,423,58031,20611,92365,6020,,3.734053156
467,39.6,937,771,3,0,496,286,33618,14772,92368,2787,,4.546286329
468,39.3,16721,14153,683,513,5678,2998,50980,18976,92371,1636,,4.258863081
469,49.1,5763,5467,31,108,1904,883,53306,25638,92372,1676,,4.261038186
470,36,35149,27143,2296,2453,7066,4800,61947,36261,92373,5950,,4.233361345
471,34.5,41452,29951,2383,3459,16190,6597,66035,26507,92374,6104,,4.246641547
472,29,85857,54912,10606,1660,65623,18537,47479,15487,92376,2272,,4.257482394
473,31.8,20370,13329,2629,704,13589,1338,74877,24061,92377,2716,,4.04712813
474,45.6,154,102,0,0,108,0,72596,26142,92378,2019,,4.114165428
475,42.1,5006,4472,124,42,491,599,61800,29651,92382,4165,,4.131092437
476,55.5,296,280,0,16,25,11,48864,33020,92385,2008,,4.325946215
477,47.6,1992,1929,0,8,449,289,29063,22192,92386,1537,,3.998373455
478,31.6,3227,2735,19,45,840,895,50492,21837,92391,3440,,4.004651163
479,29.1,57648,39627,8735,1735,29930,10388,56385,18547,92392,3927,,4.340208811
480,30.1,36017,20525,7191,1529,20235,9332,46267,13724,92394,4028,,4.416708044
481,31.7,41384,28634,6893,1251,18369,11138,40735,18482,92395,4223,,4.395216671
482,35.2,4853,4598,0,17,804,569,59184,29921,92397,1611,,4.310055866
483,36.5,1588,1483,53,0,525,511,39500,16731,92398,3113,,3.886765178
484,38,54335,44033,823,1205,18236,9247,56586,25868,92399,2652,,4.391402715
485,26.9,1885,810,531,52,1107,981,16607,9086,92401,2934,,4.417177914
486,29.8,58738,29658,9684,1942,34372,17996,39500,15445,92404,4053,,4.363064397
487,28.6,29897,16471,4637,1041,19286,9709,37141,14481,92405,3007,,4.223811107
488,27.4,64225,40472,7020,3516,38167,13360,54057,17469,92407,2654,,4.309155991
489,28.5,15788,8416,1813,2382,9304,5734,33236,12052,92408,3892,,4.35495889
490,25.7,48660,27562,5508,1141,37402,21982,26168,9998,92410,3121,,4.312079462
491,27,26437,15559,3475,1006,20746,8958,34462,11604,92411,2098,,4.248331745
492,31.8,21975,13838,1374,885,12246,4402,52041,21436,92501,10502,,3.939059227
493,32.1,94029,56780,3939,6396,55541,14792,58627,20527,92503,7887,,4.12235324
494,34.4,57004,40827,3890,2673,29516,7949,58711,22749,92504,7046,,4.190604598
495,31.6,49705,33099,2604,3911,29940,7684,59187,20592,92505,6427,,4.061615061
496,39.8,46172,36427,2160,2113,14802,6411,81531,36538,92506,7090,,4.000423131
497,25.6,57347,32287,4862,6980,29305,15544,42957,17764,92507,7908,,4.007271118
498,32.9,38360,25298,2936,3483,12847,2838,101788,32264,92508,4968,,4.175623994
499,30.6,80480,42756,2123,2636,56168,15244,60600,18767,92509,6313,,4.183589419
500,53.7,1145,912,137,38,240,157,69559,44262,92518,6007,,4.173464292
501,30.7,54710,31417,1734,1387,31604,11029,49578,18098,92530,3475,,4.279856115
502,31,22248,13025,1200,1687,8347,2268,82784,25999,92532,3599,,4.165601556
503,44.8,2811,2505,8,0,692,490,51161,22312,92536,2425,,4.328659794
504,48.7,3775,3040,1,157,751,598,35690,18908,92539,591,,4.268189509
505,33.8,36962,25790,3454,458,18143,11713,28888,13939,92543,2633,,4.254082795
506,37.2,47275,36378,1809,979,16856,9464,44841,20778,92544,3789,,4.200712589
507,41.9,40732,30824,2773,1761,14706,7627,43597,20812,92545,2837,,4.246915756
508,35.9,7577,5722,37,41,4336,1768,38415,16078,92548,3612,,4.175802879
509,57.3,2644,2553,0,34,261,463,59500,32668,92549,3817,,4.162693215
510,28.5,33670,12593,6375,1921,20164,6841,52444,16080,92551,3214,,4.157591786
511,28.6,74925,31101,12311,3431,49085,18696,45402,15309,92553,5939,,4.273362519
512,31.6,42264,17612,8642,3616,19721,4410,75114,23117,92555,4619,,4.329075557
513,32.2,51551,26179,9093,2879,25364,7510,64257,22124,92557,6050,,4.314545455
514,50.4,1577,1411,6,15,375,247,78565,40334,92561,7975,,4.442131661
515,36.1,64222,46882,3438,4488,15912,5644,77207,31945,92562,7419,,4.444197331
516,32.8,60651,37035,4606,6446,17476,4605,82686,27432,92563,7699,,4.45304585
517,32,10205,7491,100,343,5840,2488,56447,18979,92567,2905,,4.264199656
518,30.2,59324,27003,4016,1207,41784,16528,46279,15617,92570,3189,,4.304013797
519,26.4,54512,18515,6502,2270,39169,11807,53204,14934,92571,1331,,4.202103681
520,31.3,16695,10955,1276,1154,8146,1909,60170,19329,92582,2136,,4.309222846
521,34.7,32051,20359,2399,748,16846,6823,40790,18658,92583,1775,,4.366478873
522,32.6,49317,32412,3329,3501,17036,3507,79778,27029,92584,4036,,3.970391477
523,32,21714,14443,1506,706,10998,3396,62113,21867,92585,3578,,4.186137507
524,60.5,19351,15180,996,870,4896,2775,34781,22925,92586,3892,,4.047276465
525,39.1,17157,13447,165,318,5227,2108,69176,30955,92587,1781,,3.773722628
526,42.1,3951,2673,92,274,1567,503,61328,37198,92590,11457,,4.350877193
527,34.4,40396,28385,1986,3165,11426,3822,75121,29034,92591,11486,,4.370799234
528,35.7,80135,58313,3200,8595,18590,3945,93158,32198,92592,13994,,4.194190367
529,35.9,31541,22932,1784,1727,11677,4306,64988,23646,92595,5062,,4.354405373
530,32.7,25363,17176,1247,2683,7574,2009,89589,29150,92596,5799,,4.363166063
531,35.1,24962,8971,606,12461,2238,1848,105612,46043,92602,11418,,4.098222105
532,41.2,20206,11923,45,7073,1403,859,114606,70460,92603,16571,,4.17059924
533,39,28580,16466,467,8974,3705,2492,94201,41934,92604,13887,,3.991142795
534,36.1,23129,10746,884,9690,2079,2906,91250,42540,92606,12033,,4.151167622
535,36.8,11895,7971,191,3074,1462,296,121861,49280,92610,3406,,4.050499119
536,30.9,31166,16965,810,11333,3091,8055,74525,41991,92612,15400,,4.230097403
537,35.7,25930,14923,332,8980,2824,3168,92438,42383,92614,18463,,4.247603315
538,20.9,16942,8610,297,5965,3699,4814,40305,20062,92617,17081,,4.224811194
539,33.4,29921,15047,853,12336,2040,3211,100100,49991,92618,10131,,4.103296812
540,39.2,46966,17445,1075,24944,3144,3334,98830,45967,92620,11536,,3.990377947
541,51.3,6454,5586,151,187,1355,388,82328,50011,92624,5050,,4.145643564
542,53.9,12187,10430,78,735,1208,845,135266,104290,92625,9151,,4.066003715
543,34.6,51133,37242,1641,7431,12955,4692,80951,39096,92626,18598,,4.246074847
544,34.5,61996,40773,326,2474,27589,10474,62115,32190,92627,12021,,4.228516762
545,48,26797,22269,145,844,4598,1917,84974,55811,92629,7827,,4.138494953
546,39.5,61081,41082,1519,8242,15839,5615,82899,36976,92630,5933,,4.260239339
547,75.5,16330,13397,105,2632,755,1771,39223,39370,92637,8970,,4.172296544
548,44.5,55598,43659,515,6169,7390,2860,91637,43244,92646,14386,,4.178298346
549,35.6,61285,42368,954,7332,18076,8606,73604,32220,92647,7219,,4.341113728
550,41.5,47701,37632,603,4875,8479,3986,89089,54321,92648,15966,,4.107415758
551,45.9,33513,26094,297,4167,4573,2306,90534,50938,92649,11249,,4.342252645
552,50.4,24612,22169,200,1200,1777,1762,103191,83214,92651,11426,,4.10804306
553,43.2,29028,20208,292,4327,6347,2547,94074,46102,92653,9562,,4.268353901
554,35,9257,2964,0,4973,2800,2181,43278,17222,92655,6739,,3.941905327
555,36.7,52335,36389,1386,8214,8339,2298,102289,45444,92656,6083,,4.018905145
556,49.8,9768,7477,0,1560,555,194,195051,117924,92657,15746,,4.100628731
557,43.2,35935,31189,277,3019,2574,2394,117263,78374,92660,18809,,4.306130044
558,45.7,3419,3165,0,22,221,473,102167,97534,92661,5565,,4.016621743
559,57.2,2863,2782,10,19,132,104,97206,99838,92662,2893,,4.01244383
560,40.9,22408,18600,155,1153,2644,1661,94938,63843,92663,12352,,4.263681995
561,43.4,34605,27474,136,1012,7972,3346,75561,45416,92672,8315,,4.296632592
562,41.5,30553,25020,241,1218,4157,1243,136776,58446,92673,8585,,4.371694817
563,41.9,36548,25830,176,1073,13402,5113,80120,40353,92675,9207,,4.375746714
564,48.5,2156,1924,15,90,310,100,100919,51655,92676,4300,,4.150813953
565,43.8,65645,50744,1286,6006,10974,4700,97059,51757,92677,8287,,4.324966815
566,43.4,532,434,0,21,80,16,82386,45540,92678,3932,,3.879323499
567,42.8,32819,27299,448,3214,3786,907,153531,63437,92679,4414,,4.31807884
568,41,91613,36630,775,43808,22002,16343,55224,23767,92683,8208,,4.279483431
569,35.4,45105,34921,763,5685,9071,2376,99342,42059,92688,4085,,4.260465116
570,43,49471,39511,671,4429,9345,2637,100956,40700,92691,5851,,4.514100154
571,45.3,48851,38859,823,5231,7444,2140,106797,48705,92692,4781,,4.512758837
572,32.3,25906,20744,501,2937,4439,588,145148,54249,92694,5393,,3.748377526
573,28.7,51317,33858,436,2050,45926,15255,39348,13231,92701,10142,,4.352050878
574,31,71245,22272,709,10962,55787,16874,50692,13537,92703,12183,,4.372034803
575,30.8,89993,42457,759,15626,65057,16446,60867,18263,92704,15417,,4.352305896
576,38.7,47515,35329,860,4177,18583,4061,87782,44708,92705,14601,,4.354462023
577,31.7,36684,13326,249,2972,26974,7663,58623,21407,92706,11110,,4.260036004
578,30.8,61667,32124,599,4282,50166,9808,61348,18388,92707,21874,,4.217244217
579,43.5,57675,31060,445,19032,9968,4986,83860,35480,92708,10976,,4.425792638
580,33.5,62017,28603,1555,9295,30460,8604,66306,27754,92780,15523,,4.366488437
581,37.3,23174,9986,390,8996,4001,2496,100024,45672,92782,17138,,4.214990081
582,30.8,66657,42252,2380,11838,40017,12853,50423,18693,92801,13254,,4.295571148
583,33.4,42583,31415,718,6080,26201,8269,51913,20032,92802,25132,,4.025326277
584,34.7,86220,51879,2232,20008,39846,14296,53733,20861,92804,13275,,4.306629002
585,30.2,73043,57685,1070,5874,55291,15601,56636,19690,92805,17536,,4.175809763
586,33.5,40296,28747,749,5552,22542,5409,64227,26164,92806,12858,,4.260149323
587,44.6,35284,27082,500,5348,8579,1655,99698,42470,92807,8958,,4.21611967
588,40.9,20427,13614,516,4495,2959,1009,113703,53616,92808,4594,,4.14050936
589,37.7,37642,26813,591,6728,11385,2718,82603,37817,92821,16724,,4.193613968
590,38.8,3769,1775,64,1569,861,260,132333,45492,92823,8286,,4.18893314
591,29.8,36533,24941,835,6981,12523,6497,61050,28675,92831,13457,,4.236196775
592,33,25601,15837,925,2389,13844,4408,58274,24911,92832,14705,,4.211696702
593,35.7,53227,22464,1222,18405,19437,8103,67752,28130,92833,12132,,4.260220903
594,44.2,23464,13901,490,6806,3782,1805,94332,47385,92835,18193,,4.175259715
595,35.7,56256,25405,657,17915,25210,8195,62420,22362,92840,17550,,4.15988604
596,38.3,34031,15133,302,14339,11290,6912,55267,20646,92841,12206,,4.295879076
597,36.4,45211,13232,228,19750,20050,7648,53489,18334,92843,11588,,4.331334139
598,38.4,23585,5776,241,14438,5303,4722,50444,19371,92844,10162,,4.213393033
599,42.4,17276,12676,424,2641,3046,898,94451,36751,92845,4968,,4.23389694
600,40.2,26822,20840,1117,994,8395,1840,87586,30707,92860,7068,,4.332413696
601,51.3,5872,4419,148,1073,503,319,131750,59409,92861,2661,,3.960353251
602,35.6,20643,14823,287,2671,7697,1987,89016,31375,92865,11359,,4.128620477
603,33.7,15760,12466,154,492,5953,2668,65460,27992,92866,17147,,3.935061527
604,34,44868,32886,695,5059,16821,5870,82347,33121,92867,10998,,4.093198763
605,31.9,27232,13766,737,3261,13910,4048,61404,23316,92868,10928,,4.218155198
606,39.7,36298,27613,345,4338,13593,3320,91904,38829,92869,11454,,4.185219137
607,37.5,53690,39334,578,8949,19938,5351,81137,32801,92870,12219,,4.235207464
608,34.6,46487,31289,2744,5573,23780,6823,61888,23830,92879,8061,,4.263987098
609,32.3,66557,33016,4924,15994,26846,5567,97225,28446,92880,6443,,4.252134099
610,36.3,34466,24209,1867,4297,10962,1758,92853,32885,92881,5742,,4.139846743
611,34.3,71024,52190,2094,6518,34793,10143,68417,26813,92882,4401,,4.332083617
612,37.7,32549,22280,2291,3378,10050,2398,93638,35304,92883,4983,,4.254766205
613,42.9,49644,37328,438,8452,8208,2053,112204,46058,92886,9785,,4.234236076
614,42.4,20529,14656,309,3893,3430,649,129768,51976,92887,6747,,4.153030977
615,36.6,33765,28757,255,686,14642,4877,61994,31010,93001,8833,,4.31954036
616,39.8,51041,42004,796,2599,15329,4445,71806,34447,93003,6919,,4.254588813
617,40,30218,24671,619,1341,10609,3531,76388,32580,93004,1911,,4.18707483
618,38.8,44761,34120,1143,4052,13001,3135,87206,38905,93010,6747,,4.294278939
619,42.3,35714,28289,832,3511,6308,1668,95981,43745,93012,5039,,4.355725342
620,43.8,16603,12769,75,582,6611,1293,73402,41218,93013,3498,,4.049028016
621,35.1,17487,14398,21,140,13278,3436,56266,20763,93015,1571,,4.240292807
622,37.6,37093,29876,393,2689,11423,2149,100048,39266,93021,2860,,4.328496503
623,42.3,7154,6543,0,86,1868,635,74600,35972,93022,3008,,4.200132979
624,48.8,20168,18419,38,282,4284,2547,70964,41355,93023,4060,,4.086945813
625,31.4,60582,45814,1784,4324,47526,11082,58524,20300,93030,4524,,4.312776304
626,29,83103,62736,1818,6257,69341,16454,55669,16154,93033,4844,,4.383154418
627,41.3,28258,22423,952,1889,11636,1540,79748,35851,93035,4583,,4.222452542
628,31.1,46328,34922,1292,3323,32961,6280,62348,22687,93036,2831,,4.337689862
629,33.7,1980,1509,28,20,1802,229,46339,18257,93040,1793,,4.341327384
630,30.4,24351,16866,1300,1287,12849,3256,58291,23554,93041,4237,,4.25029502
631,33.1,33837,27348,94,673,26103,5987,52939,21299,93060,2937,,4.37691522
632,40.7,56637,44119,961,4985,13487,4250,85666,35958,93063,4336,,4.274677122
633,40,72211,58318,805,6668,18771,3438,94921,41393,93065,4512,,4.312167553
634,46.8,3082,2724,31,84,1298,198,92202,53338,93066,3722,,4.398844707
635,49.9,690,529,29,33,67,41,70000,70265,93067,1047,,4.051575931
636,32.1,32157,23188,502,1278,16395,5941,53730,28803,93101,12587,,4.257289267
637,35.5,20827,15237,447,634,10622,2902,71667,36595,93103,12524,,4.252754711
638,47.6,25808,22077,221,802,4723,1757,89127,48734,93105,11246,,4.248755113
639,50.7,11345,10413,50,390,865,676,131311,90971,93108,11283,,4.242134184
640,42.6,11583,9750,211,558,1949,1339,96394,49971,93109,12452,,4.287182782
641,44,16777,12783,431,1084,4620,1668,78540,43770,93110,11401,,4.288176476
642,42.9,18441,14408,266,1121,4740,1147,102644,44843,93111,4105,,4.048721072
643,22,57268,37662,1222,7474,18207,13916,60239,23938,93117,8217,,4.081294876
644,25.4,1314,1053,0,4,990,538,31979,10962,93201,2101,,4.165635412
645,30.6,3570,1801,190,203,2347,726,43990,13859,93202,1390,,4.175539568
646,24.5,22106,19172,350,43,20298,6120,37012,11029,93203,1335,,4.420973783
647,32.2,13590,5806,911,180,10708,2934,35103,7992,93204,4331,,3.666358809
648,48.8,1630,1470,16,0,508,343,26004,20088,93205,395,,3.789873418
649,31,1978,1739,85,1,1480,573,40116,16736,93206,2203,,3.990013618
650,56.2,252,246,0,2,13,44,38750,28973,93207,1357,,4.208179808
651,60.3,74,74,0,0,0,0,150284,61686,93208,2224,,4.23426259
652,33.9,18617,10671,1035,433,10857,3644,51026,17842,93210,3721,,3.748320344
653,35.3,24861,16327,2457,241,16863,5408,35149,9177,93212,136,,3.617647059
654,29.3,55494,40094,2464,6387,42809,13522,36949,11657,93215,686,,4.091836735
655,26.3,1068,954,0,0,909,483,30288,12333,93218,123,,4.235772358
656,23.7,10266,7959,104,712,9163,5455,23799,9292,93219,623,,4.215088283
657,34.6,15109,13073,131,152,6501,3312,48211,25434,93221,1413,,4.274239207
658,49.5,1542,1425,0,47,32,251,41847,28825,93222,1038,,3.898843931
659,27.3,10699,8979,238,13,9211,3117,33689,11621,93223,588,,4.397959184
660,37.8,432,408,0,1,30,86,50938,23493,93224,1293,,4.120262954
661,40.1,4886,4600,0,121,942,888,39418,22889,93225,1696,,4.297464623
662,59.5,211,208,3,0,0,34,36923,32055,93226,369,,3.646341463
663,32.2,66109,50688,3137,2630,32398,12761,51209,23577,93230,1929,,4.192586833
664,25.6,6865,3104,0,0,6700,2657,26321,10280,93234,3879,,3.657643723
