,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
74,39,16901,13448,286,1259,3074,1389,91623,47749,90245,14219,,4.261621774
75,37.3,47706,11745,9213,11874,22540,9134,44824,21598,90247,10628,,4.091926985
76,43.8,10592,3365,1767,3414,4324,1298,55368,25429,90248,11420,,4.163397548
77,39.3,26795,6588,7641,4351,9916,3436,53783,24791,90249,11764,,4.161467188
78,32.5,96987,35999,20834,6744,54079,18007,47076,22034,90250,10020,,4.411127745
79,38.3,19726,17336,262,927,1562,912,121345,87379,90254,9111,,4.276918011
80,30.9,75770,50022,405,651,73418,20515,37108,13162,90255,2551,,4.455703646
81,36,35569,17460,3011,4438,20918,5188,55666,21852,90260,13364,,4.373690512
82,28.9,71197,38824,6332,540,62637,16589,43952,13644,90262,3117,,4.285049727
83,49.6,18394,15809,347,898,1652,1549,126227,93324,90265,18532,,3.824762573
84,43.6,35573,28664,345,3415,2934,1305,144868,87206,90266,17756,,4.222206578
85,29.2,27575,22586,103,27,26997,7325,36717,12744,90270,2945,,4.259932088
86,47.5,23151,20325,283,1199,1077,909,168225,120391,90272,8736,,4.119562729
87,50.2,25503,17198,427,5990,2011,1258,158673,81435,90274,6865,,4.204952658
88,49.3,42545,25851,944,11798,4241,1720,120553,57402,90275,5475,,4.105388128
89,43.7,35204,28213,672,3265,4913,1874,99358,60821,90277,8951,,4.30767512
90,40,40582,27762,1508,5967,7138,2113,106102,50073,90278,15130,,4.452048909
91,31.2,95219,55461,977,504,90790,19289,45522,15287,90280,4466,,4.398231079
92,47.4,5974,5474,93,199,273,267,104392,54022,90290,10876,,3.874402354
93,38.6,27277,22311,1446,1123,5308,3059,82467,65733,90291,14587,,4.192294509
94,39.8,22482,17722,1444,1746,1835,3115,100842,72967,90292,14578,,4.211277267
95,38.4,12649,8748,696,1542,1831,874,85561,72465,90293,10189,,4.025714005
96,33.2,36429,10838,11388,471,22777,7557,40799,18413,90301,8899,,4.221710305
97,33.5,31064,9203,15051,349,13343,6342,43494,21499,90302,7973,,4.170387558
98,31.8,25134,6607,8907,255,14947,6597,40632,17445,90303,2405,,4.007484407
99,28.9,27008,11303,1288,617,24573,8280,38374,13189,90304,2436,,4.216748768
100,42.2,15777,1870,12246,185,2413,1687,66114,33016,90305,2804,,3.908523538
101,38.2,7621,5768,548,741,1197,907,67022,64866,90401,24497,,4.117891987
102,50.1,11410,9986,88,913,761,847,140612,115123,90402,17439,,4.070330868
103,40.1,24539,20146,538,2309,2268,2194,85870,68093,90403,20502,,4.103575261
104,37.5,22201,15472,1560,2691,6305,3358,73042,40785,90404,15331,,4.105896549
105,41.3,28861,22640,1040,2702,4638,3061,83034,59621,90405,16351,,4.165005198
106,36,43405,18143,2679,10291,18249,6420,62590,27869,90501,7353,,4.295661635
107,42.1,17855,5924,1593,6217,6914,2209,67225,26583,90502,5062,,4.396088503
108,40.3,44562,21471,1188,17205,5074,3428,78290,38477,90503,10278,,4.365343452
109,40,33609,13194,1055,13294,8402,2901,75036,33226,90504,13723,,4.242658311
110,43.4,37242,20310,788,12816,4696,1882,84450,44236,90505,7589,,4.203979444
111,37.7,34169,17727,448,2290,25305,3867,69011,30801,90601,6988,,4.103820836
112,32.3,26778,13684,536,1104,20462,4188,49946,22169,90602,6261,,4.221210669
113,40.5,20325,13755,209,1029,11060,1248,92982,33172,90603,5490,,4.301183971
114,35.3,41371,24905,396,2262,28186,4280,64653,23670,90604,5741,,4.272513499
115,33.8,41305,23029,464,1639,31686,6047,67019,23910,90605,6076,,4.200789993
116,36.6,32499,15562,333,741,28166,3521,63189,21377,90606,7715,,4.072326636
117,38.1,46550,27970,838,13484,15350,3867,83524,27942,90620,10981,,4.260859667
118,34.7,35168,18073,1596,10307,17078,7365,54670,21914,90621,7956,,4.30982906
119,42.2,15886,6548,918,7388,2665,1144,83857,34934,90623,11153,,4.221868556
120,42.1,49093,27585,2125,15556,9509,3098,84421,34355,90630,9428,,4.279327535
121,35.5,68971,43778,656,8366,38027,8711,69425,30293,90631,7284,,4.236202636
122,38.6,49876,28192,1038,9725,20666,3423,81013,29619,90638,9544,,4.261735122
123,37.3,63461,40109,840,8289,48336,9087,47598,21236,90640,12604,,4.265986988
124,34.9,106360,57844,4589,14192,74182,15583,61050,20046,90650,8427,,4.343004628
125,35.6,63684,34282,681,1770,57673,7789,57166,19971,90660,8714,,4.059157677
126,37.7,16266,9793,609,1169,12796,1768,61071,23719,90670,8710,,4.337657865
127,34.8,30373,17221,701,7676,15296,6736,50293,20459,90680,10129,,4.246223714
128,40.2,16842,6585,426,6352,6372,2226,58849,22544,90701,10073,,4.289784573
129,44.5,50442,11870,4156,30264,6849,2811,94752,36066,90703,11903,,4.272956398
130,34.4,3912,2982,8,11,2672,489,61905,32555,90704,7084,,3.731931112
131,33.3,77687,27869,10553,10096,43069,13072,50704,21527,90706,11114,,4.335567752
132,36.4,27914,11090,3566,5329,12226,4757,55176,24792,90710,2939,,4.302483838
133,39.4,31722,16817,2970,4835,10412,2130,84109,31638,90712,13453,,4.359139225
134,38.8,28833,19299,1065,3496,8148,1203,89171,33746,90713,11086,,4.270837092
135,35.9,20064,7003,1602,6054,8323,2583,66239,25292,90715,9584,,4.236696578
136,31,14383,6116,687,1829,10807,4266,35778,13448,90716,4738,,4.036618827
137,40.1,21658,12947,830,3203,7216,2881,59791,31981,90717,4057,,4.349642593
138,42.9,22413,15876,508,2801,4058,1485,96290,44268,90720,8451,,4.061472015
139,30.7,54941,30340,5267,1455,44817,12064,46364,15464,90723,9142,,4.425125793
140,36.8,61046,36240,4878,2819,33079,12306,48697,26676,90731,6257,,4.154307176
141,45.4,21763,15458,688,2151,6274,1350,86594,42751,90732,6022,,4.214463633
142,57.8,24296,19891,291,2142,3157,1883,59875,48690,90740,18001,,4.200655519
143,53.4,627,560,0,34,48,36,76667,63106,90742,2884,,3.805478502
144,51.5,368,298,5,0,87,72,109028,60313,90743,4330,,3.982794457
145,29.3,57432,34060,1014,1363,51949,15673,42112,15427,90744,2373,,4.359671302
146,37.6,57785,18356,4086,20699,25519,7019,71813,23543,90745,5027,,4.075591804
147,41,26584,4546,15280,2097,5913,2173,80175,30304,90746,6730,,4.079346211
148,33.3,11491,6542,1304,2464,4336,1778,70357,32282,90755,12214,,4.319796954
149,36.1,39873,23096,6689,3578,14808,9898,45689,34394,90802,15623,,4.153299622
150,43.6,31680,26252,1190,2085,5140,2619,78406,61136,90803,19757,,4.198689072
151,30.4,40751,25732,4955,4918,19058,10159,46790,22900,90804,16846,,4.171880565
152,30.2,95808,30269,19319,10544,55387,22869,45878,17574,90805,8889,,4.340476994
153,33.2,42312,17991,7362,8063,21824,10335,47034,18661,90806,13618,,4.26916581
154,39.4,33217,15493,5310,5863,8777,2102,72401,37422,90807,9571,,4.181433497
155,42.9,38637,28118,2036,3580,9505,1906,97500,42914,90808,10012,,4.255643228
156,33,37422,14423,4527,8712,18655,7090,51271,17595,90810,5710,,4.356654991
157,27.9,60997,30319,7070,9020,39537,20928,31775,12752,90813,13616,,4.161023796
158,37.7,18760,13668,1597,1353,4825,2773,61093,40166,90814,18667,,4.20038035
159,39,39822,29374,1711,4723,7551,4565,79809,36644,90815,17831,,4.187566597
160,43.1,37699,19244,9583,2334,10999,3951,89906,42319,91001,6539,,4.307692308
161,43.5,32106,10249,333,17963,4978,2923,90829,41374,91006,5665,,4.03168579
162,45,34619,9877,770,20977,3771,3486,75353,35923,91007,7272,,4.014507701
163,38.6,26000,14307,2291,4264,13521,3982,63090,24386,91010,4076,,3.935107949
164,44.3,20679,13316,69,5973,1874,581,158281,75494,91011,5272,,4.235489378
165,39.4,41901,27775,2803,5572,16179,3556,67868,34507,91016,4038,,4.156513125
166,40.7,8448,5626,152,1877,1931,1012,70014,32760,91020,7043,,4.190330825
167,45,11067,8822,141,1199,1697,641,95256,52012,91024,6226,,4.156681658
168,39.8,25905,13991,722,7699,5124,2337,84683,49260,91030,9807,,4.028041195
169,46.7,19587,15950,354,1687,4625,2865,70841,33228,91040,2859,,4.334032879
170,41.6,27164,19924,550,1876,7765,3613,51461,27578,91042,3461,,4.420976596
171,75.4,125,96,0,29,0,13,20417,27749,91046,949,,4.473656481
172,34.6,20761,11839,1680,4504,5491,4489,61473,41477,91101,7073,,4.243178284
173,36.3,28124,12408,5555,1877,14999,5328,62697,31680,91103,8788,,4.218365954
174,38.7,38725,23787,4252,3966,13974,6392,70208,34175,91104,9746,,4.209573158
175,48.8,11728,7918,696,2016,1853,966,107284,76598,91105,14954,,4.136886452
176,34.7,24875,13937,1535,5510,7001,3226,75160,50033,91106,13384,,4.144837119
177,42.7,32027,18245,1886,7841,8010,3098,84663,47753,91107,9920,,4.284879032
178,46.8,13675,5318,167,7317,1193,1028,141739,74523,91108,12881,,4.208601817
179,41,23510,18001,375,2225,4669,3406,54603,29196,91201,8708,,4.124598071
180,43.1,23219,17570,387,3189,3392,3073,62104,34181,91202,6135,,4.199266504
181,38.4,14051,9686,126,2753,2480,1972,48849,25383,91203,15103,,4.341058068
182,37.7,17681,11280,586,3122,6073,3861,41586,20541,91204,14534,,4.223510389
183,39.6,37664,27270,950,5202,9427,8119,38138,22434,91205,9558,,4.167817535
184,42.1,34247,25055,417,5940,5056,5160,53911,32300,91206,9549,,4.281547806
185,47.3,10071,8372,7,881,758,808,86190,51003,91207,9886,,4.24615618
186,41.8,17180,13072,66,3124,1684,1181,111563,47720,91208,5360,,4.227985075
187,31.4,886,726,8,144,59,197,160132,68496,91210,18295,,4.316425253
188,42,30935,19207,136,9100,3520,1536,91255,38370,91214,3982,,4.387744852
189,44.6,26007,22449,510,1588,3307,1415,115125,54425,91301,7120,,4.249648876
190,43.3,25906,21279,467,2659,1675,2022,120288,67877,91302,7651,,4.159783035
191,31.4,29668,17802,1332,3254,18868,6678,48238,20726,91303,8196,,4.249877989
192,37.3,52846,26397,2210,7767,22172,8644,62690,27624,91304,4979,,4.38662382
193,37.1,49043,21484,1637,8173,25912,7190,62748,24249,91306,5545,,4.450045086
194,44,26703,18862,817,3999,4038,1550,103161,42602,91307,7387,,4.249018546
195,43.9,38479,24409,1506,6948,9313,3294,80792,39914,91311,5350,,4.393271028
196,41.7,29485,24091,1076,2359,4325,4240,66128,41614,91316,12297,,4.166178743
