Zip Code,Zip Code,Review Count,Price,Average Rating
0,90001,3056,,3.917866492146597
1,90002,4943,,4.124924135140603
2,90003,6564,,4.249542961608775
3,90004,12633,,4.260547771709016
4,90005,13671,,4.324738497549557
5,90006,17445,,4.3182287188306105
6,90007,14572,,4.387455393906121
7,90008,8072,,4.2590436075322105
8,90009,678,,3.400442477876106
9,90010,11251,,4.340236423429029
10,90011,14376,,4.297405397885364
11,90012,32356,,4.145629867721597
12,90013,33174,,4.152920962199313
13,90014,21301,,4.17926388432468
14,90015,17633,,4.1470538195429025
15,90016,13053,,4.402244694706198
16,90017,21328,,4.150248499624906
17,90018,10205,,4.369867711905928
18,90019,20236,,4.442429333860447
19,90020,12277,,4.3003176671825365
20,90021,19711,,4.206864187509512
21,90022,7060,,4.24171388101983
22,90023,15435,,4.231616456106252
23,90024,15643,,4.147957552899061
24,90025,14341,,4.045045673244544
25,90026,22151,,4.170330910568372
26,90027,13624,,4.2014459776864355
27,90028,12587,,4.133192976880909
28,90029,17532,,4.197068218115446
29,90030,14949,,4.047829286239883
30,90031,17174,,4.302142773960639
31,90032,9219,,4.251003362620675
32,90033,22417,,4.245461034036668
33,90034,14369,,4.10087688774445
34,90035,12224,,4.36620582460733
35,90036,23362,,4.208886225494393
36,90037,5496,,4.476437409024745
37,90038,17242,,4.1662510149634615
38,90039,14658,,4.371537726838587
39,90040,3440,,4.536627906976745
40,90041,8493,,4.168609443070764
41,90042,7064,,4.129459229898075
42,90043,5564,,4.333662832494608
43,90044,5490,,4.455009107468124
44,90045,16019,,4.231693613833572
45,90046,22837,,4.123615185882559
46,90047,7911,,4.417267096447984
47,90048,16542,,4.1656087534760005
48,90049,15403,,4.338278257482308
49,90050,6017,,3.970666445072295
50,90051,1211,,4.0677126341866225
51,90052,2264,,3.696333922261484
52,90053,26258,,4.0414159494249375
53,90054,14949,,4.047829286239883
54,90055,1028,,4.036964980544747
55,90056,6121,,4.182731579807221
56,90057,9256,,4.128565254969749
57,90058,4026,,4.394187779433681
58,90059,5044,,4.2065820777160985
59,90060,14949,,4.047829286239883
60,90061,9758,,4.134966181594589
61,90062,5919,,4.429295489102889
62,90063,18081,,4.1362479951330124
63,90064,21458,,4.005242799888154
64,90065,16841,,4.386912891158483
65,90066,11485,,4.2804527644754025
66,90067,10559,,4.085566815039303
67,90068,15971,,4.239778348256214
68,90069,15046,,4.143393592981523
69,90070,5488,,4.014668367346939
70,90071,23488,,4.1799216621253406
71,90072,2683,,3.6844949683190458
72,90073,11903,,4.078299588339074
73,90074,9145,,3.9700382722799343
74,90075,5328,,4.010322822822823
75,90076,5328,,4.010322822822823
76,90077,16787,,4.254512420325252
77,90078,12429,,3.848298334540188
78,90079,7019,,4.042456190340505
79,90080,3325,,4.101503759398496
80,90081,15437,,4.040487141283928
81,90082,640,,4.01484375
82,90083,8109,,3.9739178690344064
83,90084,9145,,3.9700382722799343
84,90086,14949,,4.047829286239883
85,90087,14949,,4.047829286239883
86,90088,9145,,3.9700382722799343
87,90089,7933,,4.206542291692928
88,90091,2567,,3.664783794312427
89,90093,13879,,3.8565818863030477
90,90094,7372,,3.9774823657080844
91,90095,9121,,3.997697620874904
92,90096,1365,,4.282417582417582
93,90099,14949,,4.047829286239883
94,90101,2791,,3.917950555356503
95,90102,190,,4.239473684210527
96,90103,183,,3.819672131147541
97,90189,12524,,4.357433727243692
98,90201,4397,,4.389242665453718
99,90202,562,,3.5409252669039146
100,90209,12956,,4.183930225378203
101,90210,15015,,4.140992340992341
102,90211,15298,,4.249182899725454
103,90212,13263,,4.184535927015004
104,90213,9966,,3.9509331727874772
105,90220,5742,,4.208202716823407
106,90221,5225,,4.374066985645933
107,90222,2851,,4.180638372500876
108,90223,2160,,3.7717592592592593
109,90224,2225,,3.817303370786517
110,90230,9598,,4.316315899145655
111,90231,3601,,3.74576506525965
112,90232,14782,,4.098058449465566
113,90233,2777,,3.0135037810586964
114,90239,5886,,3.7696228338430173
115,90240,14130,,4.206121726822364
116,90241,12857,,4.2766975188613205
117,90242,13691,,4.325140603316047
118,90245,14219,,4.2616217736831
119,90247,10628,,4.091926985321791
120,90248,11420,,4.163397548161121
121,90249,11764,,4.161467188031282
122,90250,10020,,4.411127744510978
123,90251,1254,,3.677830940988836
124,90254,9111,,4.276918011195258
125,90255,2551,,4.455703645629165
126,90260,13364,,4.373690511822807
127,90261,6471,,3.6345232576108795
128,90262,3117,,4.285049727301893
129,90263,4427,,3.683871696408403
130,90264,4704,,3.6425382653061225
131,90265,18532,,3.8247625728469674
132,90266,17756,,4.222206578058121
133,90267,14555,,4.16722775678461
134,90270,2945,,4.259932088285229
135,90272,8736,,4.119562728937729
136,90274,6865,,4.204952658412236
137,90275,5475,,4.105388127853881
138,90277,8951,,4.307675120098313
139,90278,15130,,4.452048909451421
140,90280,4466,,4.398231079265562
141,90290,10876,,3.8744023538065466
142,90291,14587,,4.192294508809214
143,90292,14578,,4.211277267114831
144,90293,10189,,4.025714005299833
145,90294,4488,,3.7469919786096257
146,90295,2513,,3.9315559092717867
147,90296,6032,,3.9108090185676394
148,90301,8899,,4.221710304528599
149,90302,7973,,4.170387558008278
150,90303,2405,,4.007484407484408
151,90304,2436,,4.216748768472907
152,90305,2804,,3.908523537803138
153,90306,2281,,3.953309951775537
154,90307,2281,,3.953309951775537
155,90308,2281,,3.953309951775537
156,90309,7696,,4.082380457380458
157,90310,1267,,3.6771902131018153
158,90311,2281,,3.953309951775537
159,90312,2281,,3.953309951775537
160,90313,2215,,3.7038374717832956
161,90397,4172,,4.179050814956855
162,90398,2215,,3.7038374717832956
163,90401,24497,,4.11789198677389
164,90402,17439,,4.070330867595619
165,90403,20502,,4.1035752609501515
166,90404,15331,,4.10589654947492
167,90405,16351,,4.16500519845881
168,90406,7353,,3.545015639874881
169,90407,21688,,4.131870158613058
170,90408,11376,,3.8717914908579467
171,90409,9113,,3.870843849445847
172,90410,7353,,3.545015639874881
173,90411,7353,,3.545015639874881
174,90501,7353,,4.2956616347069225
175,90502,5062,,4.396088502568155
176,90503,10278,,4.3653434520334695
177,90504,13723,,4.242658310864972
178,90505,7589,,4.203979443932007
179,90506,4154,,3.9914540202214734
180,90507,5627,,3.9976897103252176
181,90508,5627,,3.9976897103252176
182,90509,8075,,4.0506501547987614
183,90510,12852,,4.275482415188297
184,90601,6988,,4.103820835718374
185,90602,6261,,4.221210669222169
186,90603,5490,,4.301183970856102
187,90604,5741,,4.27251349939035
188,90605,6076,,4.200789993416722
189,90606,7715,,4.072326636422553
190,90607,3575,,3.8496503496503496
191,90608,6141,,3.9168702165771045
192,90609,6928,,4.130412817551963
193,90610,1454,,3.404057771664374
194,90612,7325,,4.090511945392492
195,90620,10981,,4.260859666697022
196,90621,7956,,4.30982905982906
197,90622,10438,,3.9249377275340103
198,90623,11153,,4.221868555545593
199,90624,6341,,4.0425800346948435
200,90630,9428,,4.279327535002121
201,90631,7284,,4.236202635914333
202,90632,2902,,3.533252929014473
203,90633,2902,,3.533252929014473
204,90637,5504,,3.9465843023255816
205,90638,9544,,4.261735121542331
206,90639,4070,,4.064619164619165
207,90640,12604,,4.265986988257696
208,90650,8427,,4.343004627981488
209,90651,2207,,4.041232442229271
210,90652,2207,,4.041232442229271
211,90659,2207,,4.041232442229271
212,90660,8714,,4.059157677300895
213,90661,2939,,3.681864579789044
214,90662,2939,,3.681864579789044
215,90670,8710,,4.337657864523536
216,90671,2766,,3.702639190166305
217,90680,10129,,4.246223714088261
218,90701,10073,,4.289784572619875
219,90702,4242,,3.8235502121640734
220,90703,11903,,4.272956397546837
221,90704,7084,,3.731931112365895
222,90706,11114,,4.33556775238438
223,90707,4308,,4.025533890436398
224,90710,2939,,4.30248383804015
225,90711,3055,,3.3266775777414077
226,90712,13453,,4.359139225451572
227,90713,11086,,4.27083709182753
228,90714,3055,,3.3266775777414077
229,90715,9584,,4.236696577629382
230,90716,4738,,4.036618826509075
231,90717,4057,,4.349642593049051
232,90720,8451,,4.061472015146137
233,90721,2618,,3.8852177234530174
234,90723,9142,,4.425125793043097
235,90731,6257,,4.154307175962922
236,90732,6022,,4.214463633344404
237,90733,5813,,3.9795286426974026
238,90734,3072,,4.048828125
239,90740,18001,,4.200655519137825
240,90742,2884,,3.805478502080444
241,90743,4330,,3.9827944572748266
242,90744,2373,,4.359671302149178
243,90745,5027,,4.075591804257012
244,90746,6730,,4.079346210995542
245,90747,3033,,4.05242334322453
246,90748,302,,4.127483443708609
247,90749,1414,,3.992574257425743
248,90755,12214,,4.319796954314721
249,90801,14906,,4.092211190124782
250,90802,15623,,4.153299622351661
251,90803,19757,,4.198689072227565
252,90804,16846,,4.1718805651193165
253,90805,8889,,4.340476994037575
254,90806,13618,,4.26916580995741
255,90807,9571,,4.181433497022255
256,90808,10012,,4.255643228126249
257,90809,10136,,4.1396507498026835
258,90810,5710,,4.356654991243433
259,90813,13616,,4.161023795534665
260,90814,18667,,4.200380350350887
261,90815,17831,,4.187566597498738
262,90822,1178,,4.244057724957555
263,90831,2580,,3.522286821705426
264,90832,281,,3.8398576512455516
265,90833,386,,3.856217616580311
266,90834,305,,3.9344262295081966
267,90835,386,,3.856217616580311
268,90840,6013,,4.010477299185099
269,90842,7323,,4.067800081933634
270,90844,1346,,3.734398216939079
271,90845,48,,4.447916666666667
272,90846,4291,,3.851899324166861
273,90847,7323,,4.067800081933634
274,90848,7323,,4.067800081933634
275,90853,3199,,4.028758987183495
276,90888,14270,,4.097967764540995
277,90895,675,,3.719259259259259
278,90899,14844,,4.291700350309889
279,91001,6539,,4.3076923076923075
280,91003,1550,,3.801290322580645
281,91006,5665,,4.0316857899382175
282,91007,7272,,4.014507700770077
283,91009,2214,,2.906052393857272
284,91010,4076,,3.935107948969578
285,91011,5272,,4.23548937784522
286,91012,6475,,4.123088803088803
287,91016,4038,,4.1565131253095595
288,91017,4755,,4.115141955835962
289,91020,7043,,4.190330824932557
290,91021,6475,,4.123088803088803
291,91023,1481,,4.084064821066847
292,91024,6226,,4.156681657565049
293,91025,2346,,3.7263427109974425
294,91030,9807,,4.028041195064749
295,91031,3071,,3.7583848909150115
296,91040,2859,,4.334032878628891
297,91041,1172,,4.103668941979522
298,91042,3461,,4.420976596359433
299,91043,953,,4.055089192025184
300,91046,949,,4.473656480505795
301,91066,5564,,4.029115744069015
302,91077,10874,,4.009794004046349
303,91101,7073,,4.243178283613743
304,91102,4663,,4.068947029809136
305,91103,8788,,4.218365953573054
306,91104,9746,,4.209573158218756
307,91105,14954,,4.136886451785475
308,91106,13384,,4.144837118947998
309,91107,9920,,4.284879032258065
310,91108,12881,,4.208601816629144
311,91109,1485,,3.708754208754209
312,91110,735,,3.5421768707482992
313,91114,2417,,3.631361191559785
314,91115,13408,,3.884210918854415
315,91116,3756,,3.70993077742279
316,91117,1324,,3.5302114803625377
317,91118,2534,,4.013220205209156
318,91121,7784,,4.037512846865365
